,,,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,,-0.318,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,-0.061,,,1963-1992," , Region: US and Canada; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,-0.084,,,1963-1992," , Region: United Kingdom; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,1.257,,,,,,,,1963-1992," , Region: Zimbabwe; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,0.231,,,0.147,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,0.784,,,,,,,,,1963-1992," , Region: Bangladesh; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,,,,,,,0.189,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,0.163,,,,,-0.082,0.166,,1963-1992," , Region: France; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,,,,,,-0.095,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,0.157,,,,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,0.08,,,,,,,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,,,,,,-0.132,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,0.136,,,,,,0.13,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,0.157,,,,,,-0.359,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,,,-0.385,,,,,,1963-1992," , Region: Zambia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,0.229,,,0.137,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,1.133,,,,,,,,,1963-1992," , Region: Bangladesh; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,,,,,,,0.177,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,0.153,,,,,-0.122,0.108,,1963-1992," , Region: France; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,,,,,,-0.164,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,0.111,,,,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,0.079,,,,,,,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,,,,,,-0.134,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,0.132,,,,,,0.107,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,0.159,,,,,,-0.422,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,,,-0.307,,,,,,1963-1992," , Region: Zambia; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, short run",-0.006,-0.005,-0.008,,-0.005,-0.055,,-0.068,-0.003,,1961-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.1,0.105,0.065,,-0.048,-0.132,,0.036,0.111,,1973-1993," , Region: Africa; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.058,0.082,0.059,,-0.04,0.036,,-0.16,0.015,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",-0.001,0.016,0.005,,-0.008,-0.08,,-0.091,-0.017,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.028,0.042,0.058,,-0.029,0.087,,0.126,0.043,,1973-1993," , Region: L America; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.068,0.175,0.042,,0.056,-0.045,,0.031,0.062,,1973-1993," , Region: N America; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.037,0.142,0.187,,0.093,-0.028,,0.215,0.012,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",-0.001,-0.036,-0.051,,0.105,-0.018,,-0.121,0.063,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",-0.012,0.004,-0.025,,-0.006,-0.047,,-0.064,-0.02,,1973-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, short run",-0.009,-0.019,-0.007,,-0.003,-0.058,,-0.05,-0.003,,1961-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.1,0.106,0.068,,-0.051,-0.139,,0.078,0.111,,1973-1993," , Region: Africa; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.054,0.077,0.045,,-0.057,0.037,,-0.143,0.016,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.01,0.034,0.01,,-0.008,-0.078,,-0.082,-0.008,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.029,0.047,0.052,,-0.032,0.069,,0.128,0.044,,1973-1993," , Region: L America; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.069,0.177,0.04,,0.056,-0.044,,0.043,0.061,,1973-1993," , Region: N America; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.039,0.153,0.187,,0.095,-0.025,,0.271,0.016,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",-0.002,-0.032,-0.05,,0.107,-0.019,,-0.118,0.055,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",-0.013,-0.009,-0.025,,0.001,-0.049,,-0.053,-0.02,,1973-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,Tims (1977) - from demand,"Unknown, long run",,,-0.175417661097852,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Intensity elasticity to price,Tims (1977) - from demand,"Unknown, short run",,,-0.147,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.0814,,,,,,,,1950?-1982?," Total, Region: Germany, W; Comments from Dahl: Eq. Storage, Price, Scrap Price",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.076,,,,,,,,1950?-1982?," Total, Region: Italy; Comments from Dahl: nan",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.0972,,,,,,,,1950?-1982?," Total, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.0851,,,,,,,,1950?-1982?," Total, Region: Other market economies; Comments from Dahl: nan",
Intensity elasticity to price,Wagenhals (1984) - from demand,"Unknown, static",,,-0.0954,,,,,,,,1950?-1982?," Total, Region: U.K; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",1.38,,,,,,,,,,~1960-1984," Ore, Region: Algeria; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",1.24,,,,,,,,,,~1960-1984," Ore, Region: Australia; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.63,,,,,,,,,,~1960-1984," Ore, Region: Belgium; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.59,,,,,,,,,,~1960-1984," Ore, Region: Brazil; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",2.19,,,,,,,,,,~1960-1984," Ore, Region: Canada; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.41,,,,,,,,,,~1960-1984," Ore, Region: Chile; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.93,,,,,,,,,,~1960-1984," Ore, Region: China; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.18,,,,,,,,,,~1960-1984," Ore, Region: Czechoslovakia; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.47,,,,,,,,,,~1960-1984," Ore, Region: Egypt; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.21,,,,,,,,,,~1960-1984," Ore, Region: Germany, W; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.91,,,,,,,,,,~1960-1984," Ore, Region: Germany, West; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",1.03,,,,,,,,,,~1960-1984," Ore, Region: Italy; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.81,,,,,,,,,,~1960-1984," Ore, Region: Japan; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",1.1,,,,,,,,,,~1960-1984," Ore, Region: Korea, S.; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.7,,,,,,,,,,~1960-1984," Ore, Region: Liberia; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.99,,,,,,,,,,~1960-1984," Ore, Region: Mauritania; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.84,,,,,,,,,,~1960-1984," Ore, Region: Mexico; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.59,,,,,,,,,,~1960-1984," Ore, Region: Netherlands; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.74,,,,,,,,,,~1960-1984," Ore, Region: Peru; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.95,,,,,,,,,,~1960-1984," Ore, Region: South Africa; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",1.05,,,,,,,,,,~1960-1984," Ore, Region: Sweden; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.55,,,,,,,,,,~1960-1984," Ore, Region: Turkey; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.6,,,,,,,,,,~1960-1984," Ore, Region: Venezuela; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",0.7,,,,,,,,,,~1960-1984," Ore, Region: Yugoslavia; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), a","Unknown, static",0.43,,,,,,,,,,~1960-1984," Ore, Region: France; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), a","Unknown, static",1.1,,,,,,,,,,~1960-1984," Ore, Region: India; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), a","Unknown, static",1.94,,,,,,,,,,~1960-1984," Ore, Region: Spain; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), a","Unknown, static",1.06,,,,,,,,,,~1960-1984," Ore, Region: USSR; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), a","Unknown, static",1.56,,,,,,,,,,~1960-1984," Ore, Region: United Kingdom; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), b","Unknown, static",0.37,,,,,,,,,,~1960-1984," Ore, Region: France; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), b","Unknown, static",1.33,,,,,,,,,,~1960-1984," Ore, Region: India; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), b","Unknown, static",0.48,,,,,,,,,,~1960-1984," Ore, Region: Spain; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), b","Unknown, static",0.3,,,,,,,,,,~1960-1984," Ore, Region: USSR; Comments from Dahl: nan",
Primary supply elasticity to GDP,"Priovolos (1987), b","Unknown, static",1.08,,,,,,,,,,~1960-1984," Ore, Region: United Kingdom; Comments from Dahl: nan",
Primary supply elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.89,,,,,,,,1950?-1982?," mined, Region: Canada; Comments from Dahl: nan",
Primary supply elasticity to GDP,Wagenhals (1984),"Unknown, static",,,1.14,,,,,,,,1950?-1982?," mined, Region: Chile; Comments from Dahl: nan",
Primary supply elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.62,,,,,,,,1950?-1982?," mined, Region: Ot market economies; Comments from Dahl: nan",
Primary supply elasticity to GDP,Wagenhals (1984),"Unknown, static",,,1.15,,,,,,,,1950?-1982?," mined, Region: Peru; Comments from Dahl: nan",
Primary supply elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.95,,,,,,,,1950?-1982?," mined, Region: Philippines; Comments from Dahl: nan",
Primary supply elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.98,,,,,,,,1950?-1982?," mined, Region: S.Africa/Namibia; Comments from Dahl: nan",
Primary supply elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.87,,,,,,,,1950?-1982?," mined, Region: U.S.; Comments from Dahl: nan",
Primary supply elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.87,,,,,,,,1950?-1982?," mined, Region: Zaire; Comments from Dahl: nan",
Primary supply elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.91,,,,,,,,1950?-1982?," mined, Region: Zambia; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,1.16,,,,,,,,1948-1967," Production, Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,1.22,,,,,,,,1948-1967," Production, Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,0.63,,,,,,,,1948-1967," Production, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,0.625,,,,,,,,1948-1967," Production, Region: Zaire; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.21,,,,,,,,1953-1968," Primary+ 2nd, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.228,,,,,,,,1953-1968," Primary+ 2nd, Region: Germany; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.29,,,,,,,,1953-1968," Primary+ 2nd, Region: U.K.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.294,,,,,,,,1953-1968," Primary+ 2nd, Region: U.S. ; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.421,,,,,,,,1953-1968," Primary, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.328,,,,,,,,1953-1968," Primary, Region: Germany; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.368,,,,,,,,1953-1968," Primary, Region: U.K; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,0.2365,,,,,,,,1948-1967," Production, Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,0.289,,,,,,,,1948-1967," Production, Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,0.31,,,,,,,,1948-1967," Production, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,0.1726,,,,,,,,1948-1967," Production, Region: Zaire; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.152,,,,,,,,1953-1968," Primary+ 2nd, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.127,,,,,,,,1953-1968," Primary+ 2nd, Region: Germany; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.177,,,,,,,,1953-1968," Primary+ 2nd, Region: U.K.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.253,,,,,,,,1953-1968," Primary, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.221,,,,,,,,1953-1968," Primary, Region: Germany; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.252,,,,,,,,1953-1968," Primary, Region: U.K; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, static",,,-0.39,,,,,,,,1953-1968," Primary, Region: Italy; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, static",,,-0.294,,,,,,,,1953-1968," Primary, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Blomberg (2000),"Unknown, static",,0.17,,,,,,,,,1983-1997," Secondary, Region: Germany, France, Italy, UK; Comments from Dahl: nan",
Mine CU elasticity to TCM,Chhabra (1978),"Unknown, long run",,,,,,,,0.91,,,1948-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,Chhabra (1978),"Unknown, long run",,,,,,,,0.7,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean, also price equations, tinplate supply",
Mine CU elasticity to TCM,Chhabra (1978),"Unknown, short run",,,,,,,,0.21,,,1948-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,Chhabra (1978),"Unknown, short run",,,,,,,,0.31,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean, also price equations, tinplate supply",
Mine CU elasticity to TCM,"Chhabra (1978), a","Unknown, long run",,,,,,,,1.25,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), a","Unknown, short run",,,,,,,,0.6,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), b","Unknown, long run",,,,,,,,1.34,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), b","Unknown, short run",,,,,,,,0.24,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), c","Unknown, long run",,,,,,,,0.7,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), c","Unknown, short run",,,,,,,,0.3,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), d","Unknown, long run",,,,,,,,2.09,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), d","Unknown, short run",,,,,,,,1.11,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,Choe (1990),"Unknown, static",,,0.116,,0.109,,,,0.085,,1963?-1989?," , Region: G7?World; Comments from Dahl: also P equations",
Mine CU elasticity to TCM,Choe (1990),"Unknown, static",,0.117,,,,,,,,,1963?-1989?," , Region: G7?World; Comments from Dahl: also p equations",
Mine CU elasticity to TCM,"Damuth (1979), in Damuth (2011)","Unknown, static",0.833,,,,,,,,,,1961-1976," Scrap Old, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Damuth (1979), in Damuth (2011)","Unknown, static",0.365,,,,,,,,,,1961-1976," Scrap Total, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Damuth (2011),"Unknown, static",0.885,,,,,,,,,,1985-2009," Scrap Old, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Damuth (2011),"Unknown, static",0.589,,,,,,,,,,1985-2009," Scrap Total, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,0.400858983536148,,,,,,,,1948-1968," , Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,1.6806506849315,,,,,,,,1948-1968," , Region: ROW; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,0.306218706915318,,,,,,,,1950-1968," rate, Region: U.S/; Comments from Dahl: also linear U.S. new scrap as function of consumption",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,0.156407421059098,,,,,,,,1952-1968," ScrapTotal, Region: ROW; Comments from Dahl:  ",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,1.6538882803943,,,,,,,,1959-1958-1962-1966," , Region: U.S.; Comments from Dahl: Also price, stock and exports to u.s. Eq",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.188,,,,,,,,1948-1967," , Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.112,,,,,,,,1948-1968," , Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.1963,,,,,,,,1948-1968," , Region: ROW; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.422,,,,,,,,1950-1968," rate, Region: U.S/; Comments from Dahl: also linear U.S. new scrap as function of consumption",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.2546,,,,,,,,1952-1968," ScrapTotal, Region: ROW; Comments from Dahl:  ",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.453,,,,,,,,1959-1958-1962-1966," , Region: U.S.; Comments from Dahl: Also price, stock and exports to u.s. Eq",
Mine CU elasticity to TCM,Fisher (1981),"Unknown, long run",,1.5023,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1981),"Unknown, short run",,0.2911,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1981),"Unknown, static",,0.9207,,,,,,,,,1960-1978," Scrap New, Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Gupta (1982),"Unknown, long run",,,,,,,,,0.573440322058427,,1956-1974," , Region: Row; Comments from Dahl: nan",
Mine CU elasticity to TCM,Gupta (1982),"Unknown, long run",,,,,,,,,0.853744963513751,,1956-1974," , Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Gupta (1982),"Unknown, short run",,,,,,,,,0.147002,,1956-1974," , Region: Row; Comments from Dahl: nan",
Mine CU elasticity to TCM,Gupta (1982),"Unknown, short run",,,,,,,,,0.641603,,1956-1974," , Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, long run",,0.71,,,,,,,,,1965-1977," , Region: Fringe; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, long run",,0.073,,,,,,,,,1965-1977," , Region: Non-Communist Wordl; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, short run",,1.19,,,,,,,,,1965-1977," , Region: Australia; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, short run",,0.2,,,,,,,,,1965-1977," , Region: Fringe; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, short run",,0.05,,,,,,,,,1965-1977," , Region: Non-Communist Wordl; Comments from Dahl: nan",
Mine CU elasticity to TCM,Marsh (1983),"Unknown, long run",,,,0.708,,,,,,,nan-1975," , Region: S. Africa_15 mines; Comments from Dahl: Short run from production estimates at dif prices, long run from reserve estimates at different prices",
Mine CU elasticity to TCM,Marsh (1983),"Unknown, short run",,,,-0.422,,,,,,,nan-1975," , Region: S. Africa_15 mines; Comments from Dahl: Short run from production estimates at dif prices, long run from reserve estimates at different prices",
Mine CU elasticity to TCM,"Marsh (1983), a","Unknown, long run",,,,0.223,,,,,,,1975-1975," , Region: S. Africa<15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), a","Unknown, long run",,,,0.965,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), a","Unknown, short run",,,,-0.283,,,,,,,1975-1975," , Region: S. Africa<15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), a","Unknown, short run",,,,-0.446,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), b","Unknown, long run",,,,0.234,,,,,,,1975-1975," , Region: S. Africa<15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), b","Unknown, long run",,,,0.898,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), b","Unknown, short run",,,,-0.46,,,,,,,1975-1975," , Region: S. Africa<15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), b","Unknown, short run",,,,-0.519,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), c","Unknown, long run",,,,1.049,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), c","Unknown, short run",,,,-0.522,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), d","Unknown, long run",,,,0.768,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), d","Unknown, short run",,,,-0.477,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, long run",1.36,,,,,,,,,,~1960-1984," Ore, Region: Australia; Comments from Dahl: nan",
